order_id,order_date,customer_id,product_id,sales_rep,channel,quantity,unit_price,discount_pct,unit_cost,payment_days,returned_qty,order_status
O1058,2025-12-08,C008,P001,Giorgos,Wholesale,14,14.99,0.03,10.8,15.0,0,Completed
O1272,2025-12-23,C046,P023,Eleni,Wholesale,13,16.26,0.05,10.3,30.0,0,Pending
O1453,2025-04-09,C042,P003,Giorgos,Direct,10,8.23,0.09,6.17,60.0,0,Completed
O1160,2025-07-14,C085,P021,Maria,Direct,12,19.64,0.02,12.46,60.0,0,Completed
O1115,2025-06-04,C026,P004,Giorgos,Wholesale,14,9.14,0.08,6.26,45.0,0,Completed
O1062,2025-01-01,C044,P013,Eleni,Wholesale,9,24.95,0.03,13.56,60.0,0,Completed
O1469,2025-08-09,C068,P028,Eleni,Wholesale,8,20.02,0.0,10.16,15.0,0,Completed
O1168,2025-08-15,C007,P029,Maria,Wholesale,11,17.56,0.05,12.31,30.0,0,Completed
O1220,2025-03-28,C051,P026,Nikos,Wholesale,10,16.04,0.08,9.36,45.0,0,Completed
O1227,2025-12-06,C062,P002,Eleni,Wholesale,8,8.02,0.0,5.44,60.0,0,Completed
O1330,2025-05-01,C086,P032,Eleni,Wholesale,11,13.3,0.03,7.5,45.0,1,Partial return
O1256,2025-04-12,C052,P033,Maria,Wholesale,12,17.67,0.1,10.26,30.0,0,Pending
O1437,2025-05-06,C052,P025,Giorgos,Direct,12,15.87,0.05,11.49,45.0,0,Completed
O1401,2025-02-07,C013,P001,Giorgos,Wholesale,7,14.99,0.02,10.81,30.0,0,Completed
O1335,2025-11-19,C036,P022,Maria,Direct,15,15.11,0.05,9.63,30.0,0,Completed
O1095,2025-07-16,C036,P024,Giorgos,Wholesale,12,16.87,0.03,10.51,30.0,0,Completed
O1249,2025-03-17,C043,P024,Nikos,Phone order,4,16.87,,10.91,30.0,1,Partial return
O1526,2025-02-24,C055,P013,Giorgos,Wholesale,10,24.95,0.05,13.48,30.0,1,Completed
O1086,2025-12-23,C030,P004,Giorgos,Wholesale,20,9.14,0.05,6.17,45.0,0,Completed
O1554,2025-05-08,C026,P012,Nikos,Wholesale,9,19.45,0.0,13.52,15.0,0,Completed
O1243,2025-08-26,C002,P024,Eleni,Phone order,12,16.87,0.05,10.51,45.0,0,Completed
O1090,2025-08-15,C070,P003,Giorgos,Phone order,13,8.23,0.06,5.89,60.0,0,Completed
O1236,2025-10-08,C037,P034,Giorgos,Phone order,12,21.54,0.03,11.19,60.0,0,Completed
O1616,2025-09-01,C034,P017,Giorgos,Wholesale,10,17.04,0.08,8.53,45.0,0,Completed
O1231,2025-05-07,C052,P036,Eleni,Direct,11,19.47,0.05,11.52,30.0,0,Completed
O1292,2025-09-24,C064,P022,Giorgos,Direct,10,15.11,0.03,10.08,30.0,0,Completed
O1127,2025-05-21,C015,P021,Giorgos,Wholesale,15,19.64,0.07,12.61,45.0,0,Completed
O1210,2025-05-27,C043,P033,Maria,Wholesale,7,17.67,0.0,9.75,45.0,0,Completed
O1084,2025-06-13,C041,P020,Nikos,Wholesale,10,11.89,0.05,7.56,30.0,0,Completed
O1114,2025-04-29,C044,P027,Giorgos,Direct,12,19.42,0.02,13.9,45.0,0,Completed
O1264,2025-12-28,C009,P007,Maria,Wholesale,16,13.28,0.03,6.64,30.0,1,Completed
O1285,2025-07-28,C038,P032,Eleni,Wholesale,11,13.3,0.03,7.77,45.0,0,Completed
O1115,2025-08-01,C046,P026,Nikos,Wholesale,12,16.04,0.05,9.34,30.0,0,Completed
O1646,2025-08-04,C066,P008,Giorgos,Phone order,11,9.08,0.05,4.86,15.0,0,Completed
O1310,2025-10-27,C043,P024,Nikos,Phone order,7,16.87,0.0,10.73,45.0,0,Completed
O1017,2025-10-22,C037,P025,Giorgos,Wholesale,5,15.87,0.0,11.02,30.0,1,Partial return
O1017,2025-06-30,C086,P016,Eleni,Direct,15,19.23,0.05,9.6,45.0,0,Completed
O1498,2025-08-03,C038,P028,Maria,Wholesale,12,20.02,0.05,10.3,45.0,0,Completed
O1016,2025-05-20,C039,P031,Giorgos,Wholesale,4,15.37,0.01,8.3,75.0,0,Completed
O1245,2025-07-19,C043,P021,Eleni,Direct,7,19.64,0.0,12.79,30.0,0,Completed
O1585,2025-07-27,C010,P014,Maria,Phone order,12,17.99,0.05,8.68,30.0,1,Completed
O1506,2025-03-07,C071,P012,Nikos,Phone order,10,19.45,0.08,13.98,30.0,0,Completed
O1617,2025-10-31,C035,P008,Nikos,Wholesale,5,9.08,0.0,4.66,30.0,0,Completed
O1602,2025-08-08,C048,P035,Maria,Phone order,15,21.37,0.08,12.24,15.0,0,Completed
O1422,2025-04-04,C018,P031,Nikos,Wholesale,9,15.37,0.04,8.48,30.0,0,Completed
O1223,2025-06-17,C034,P001,Maria,Wholesale,5,14.99,0.0,10.83,45.0,0,Completed
O1484,2025-06-22,C006,P009,Giorgos,Wholesale,7,9.54,0.04,6.12,30.0,0,Completed
O1033,2025-08-04,C029,P018,Eleni,Phone order,12,15.39,0.05,10.19,15.0,0,Completed
O1084,2025-08-29,C036,P008,Nikos,Direct,10,9.08,0.07,4.58,15.0,0,Completed
